,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
2062,28.700001,60.0,0.0,1.0,2.0,3.0,1.0,1,1,1,940.536575074
2071,25.799999,45.0,0.0,2.0,2.0,3.0,1.0,13,1,1,1192.3
2072,24.799999,0.0,5.0,2.0,2.0,3.0,5.0,13,2,0,300.0
2085,18.9,60.0,5.0,2.0,1.0,3.0,1.0,10,1,1,2038.46
2088,21.0,15.0,0.0,1.0,1.0,3.0,5.0,9,3,1,437.5
2095,27.5,65.0,5.0,2.0,1.0,3.0,1.0,10,1,1,1346.15
2099,20.4,120.0,10.0,2.0,1.0,3.0,1.0,9,1,1,1038.46
2104,22.9,130.0,0.0,2.0,1.0,3.0,3.0,5,6,1,670.0
2122,19.1,135.0,0.0,2.0,2.0,3.0,1.0,4,1,1,2307.69
2128,36.400002,45.0,0.0,2.0,1.0,3.0,2.0,10,1,1,442.3
2131,34.299999,60.0,5.0,2.0,1.0,3.0,1.0,11,1,1,1826.92
2138,18.200001,0.0,10.0,2.0,1.0,3.0,1.0,10,2,1,560.0
2141,36.900002,0.0,60.0,2.0,1.0,3.0,1.0,2,5,1,1960.0
2152,22.6,30.0,15.0,2.0,2.0,3.0,1.0,8,5,1,1038.46
2153,27.9,110.0,2.0,2.0,0.0,3.0,1.0,7,1,1,653.84
2155,22.6,60.0,10.0,2.0,2.0,3.0,1.0,11,1,1,730.76
2160,32.599998,30.0,30.0,1.0,1.0,3.0,2.0,9,3,0,580.0
2170,23.200001,70.0,0.0,1.0,2.0,3.0,2.0,10,2,0,439.6
2180,33.5,35.0,10.0,1.0,1.0,3.0,2.0,10,1,1,645.0
2186,22.0,175.0,10.0,2.0,2.0,3.0,1.0,11,2,0,156.0
2188,27.5902193611,30.0,575.0,1.0,2.0,3.0,2.0,6,1,1,961.53
2194,25.6,25.0,0.0,2.0,2.0,3.0,1.0,12,2,1,940.536575074
2203,27.299999,50.0,15.0,2.0,1.0,3.0,1.0,4,5,1,2250.0
2205,27.5902193611,90.0,0.0,2.0,2.0,2.0,1.0,10,1,0,940.536575074
2214,37.299999,150.0,165.0,1.0,1.0,3.0,1.0,12,3,1,1442.3
2215,23.9,30.0,15.0,1.0,1.0,3.0,2.0,8,3,1,253.75
2229,27.5902193611,65.0,10.0,2.0,2.0,3.0,1.0,8,3,0,940.536575074
2258,35.599998,75.0,2.0,1.0,1.0,3.0,1.0,9,1,1,2884.61
2266,27.5902193611,100.0,3.0,1.0,1.0,3.0,1.0,8,3,1,761.0
2275,25.1,0.0,135.0,1.0,2.0,3.0,1.0,4,5,1,1100.0
2285,29.799999,20.0,350.0,1.0,1.0,3.0,2.0,5,3,1,576.92
2295,29.200001,90.0,0.0,2.0,2.0,3.0,1.0,10,1,1,826.92
